Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Index Keywords,Search_Etiquette
Gould J.E.,"Gould, Jay E. (55415377500)",55415377500,Concise handbook of experimental methods for the behavioral and biological sciences,2001,Concise Handbook of Experimental Methods for the Behavioral and Biological Sciences,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056542762&partnerID=40&md5=1de514822bb06ec6cd47528f560d7bd5,"Although there are many books written on the principles and methods of experimentation, few are written in a succinct, comprehensive outline format. The Concise Handbook of Experimental Methods for the Behavioral and Biological Sciences is based on a popular course taught by the author for more than two decades to assist advanced undergraduate and graduate students in understanding and applying the principles and methods of experimentation. The handbook is organized into three parts. Part One covers the philosophy of science, forms of scientific research, steps of the scientific method, variables in research designs, and the initial and final phases of research. Part Two discusses research ethics and experimental control. Part Three surveys experimental design, sampling and generalization, and hypothesis testing and statistical significance. The handbook’s illustrations, extensive appendices, and detailed index allow you to acquire the techniques necessary to conduct, interpret, and evaluate research and then clearly communicate those findings. The Concise Handbook of Experimental Methods for the Behavioral and Biological Sciences eliminates the need for wading through unnecessary details to find what you need, making it a handy resource for reference and review. © 2002 by CRC Press LLC.",,Biological Sciences
de Castro D.R.; dos Santos F.D.A.R.; Caetano R.; Santana R.C.; El-Hani C.N.,"de Castro, Darcy Ribeiro (58172951900); dos Santos, Francisco de Assis Ribeiro (57222507544); Caetano, Robert (58174027300); Santana, Renata Carvalho (58634420400); El-Hani, Charbel Niño (6506237910)",58172951900; 57222507544; 58174027300; 58634420400; 6506237910,Indicators of botany teaching in biological sciences courses at public universities in Bahia: implications for initial teacher training; [INDICADORES DO ENSINO DE BOTÂNICA NOS CURSOS DE CIÊNCIAS BIOLÓGICAS DAS UNIVERSIDADES PÚBLICAS BAIANAS: IMPLICAÇÕES PARA A FORMAÇÃO INICIAL DOCENTE],2023,Investigacoes em Ensino de Ciencias,0,10.22600/1518-8795.ienci2023v28n2p402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173438043&doi=10.22600%2f1518-8795.ienci2023v28n2p402&partnerID=40&md5=26cfea27d362594d5f50557e3ca6c71d,"Basic Education teacher training courses across the country are in the process of changing, incorporating the new guidelines established with the current legislation. This study aims to analyze indicators that impact the quality of botany teaching in biological sciences courses of public universities in Bahia with a view to contributing to the initial teacher education of graduates. It involved a qualitative-quantitative work through documentary study of the Pedagogical Projects of Courses - PPCs of the courses. The data were categorized, processed and analyzed qualitatively and then quantitatively through basic statistics and Excel software. It was found that only the Biological Sciences Courses of the State University of Feira de Santana (UEFS) and the Federal University of Oeste Baiano (UFOB) are with the PPCs reformulated according to the current legislation. The indicators in general imply operational difficulties to approach specific contents of botany for which they require the use of functional teaching strategies for initial teacher training. © 2023 Universidade Federal do Rio Grande do Sul, Instituto de Fisica. All rights reserved.",,Biological Sciences
Johnson S.D.,"Johnson, Steven D. (34770305500)",34770305500,Peer review versus the h-index for evaluation of individual researchers in the biological sciences,2020,South African Journal of Science,2,10.17159/sajs.2020/8700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096139674&doi=10.17159%2fsajs.2020%2f8700&partnerID=40&md5=4c2769b690d1bdbb77bed3f6b1a92709,"Past performance is a key consideration when rationalising the allocation of grants and other opportunities to individual researchers. The National Research Foundation of South Africa (NRF) has long used a highly structured system of ‘rating’ the past performance of individual researchers. This system relies heavily on peer review, and has seldom been benchmarked against bibliometric measures of research performance such as Hirsch’s h-index. Here I use data for about 600 rated researchers in the biological sciences to evaluate the extent to which outcomes of peer review correspond to bibliometric measures of research performance. The analysis revealed that values of the h-index based on the Scopus database are typically 5–20 for researchers placed in the NRF’s C rating category (‘established’), 20–40 for those in the B rating category (‘considerable international recognition’) and >40 for those in the A rating category (‘leading international scholars’). Despite concerns that citation patterns differ among disciplines, the mean h-index per rating category was remarkably consistent across five different disciplines in the biological sciences, namely animal sciences, plant sciences, ecology, microbiology and biochemistry/genetics. This observation suggests that the NRF rating system is equitable in the sense that the outcomes of peer review are generally consistent with bibliometric measures of research performance across different disciplines in the biological sciences. However, the study did reveal some notable discrepancies which could reflect either bias in the peer-review process or shortcomings in the bibliometric measures, or both. Significance: • NRF rating categorisations (estimates of standing in a research field based on peer review) are a reasonably good predictor of the h-index of individual researchers in the biological sciences. • The relationships between rating categorisations and the h-index are remarkably consistent across five sub-disciplines in the biological sciences. • Peer review and the h-index were compared in terms of their relative advantages and disadvantages and the combined use of both approaches is advocated for measurement of research performance. © 2020 Academy of Science of South Africa. All rights reserved.",South Africa; Scopus; data set; index method; literature review; measurement method; performance assessment,Biological Sciences
Wilson D.; Lancelot G.,"Wilson, Duncan (56867121400); Lancelot, Gaël (57213253687)",56867121400; 57213253687,Making way for molecular biology: institutionalizing and managing reform of biological science in a UK university during the 1980s and 1990s,2008,Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences,9,10.1016/j.shpsc.2007.12.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40449132508&doi=10.1016%2fj.shpsc.2007.12.011&partnerID=40&md5=fcf427e20a1832cfb72bf80adf56aa9e,"Historians agree that the second half of the twentieth century saw widespread changes in the structure of biological science in universities. This shift was, and continues to be, characterized by the de-differentiation of nineteenth and early twentieth century disciplines, with increasing emphasis on the methods and authority of molecular fields. Yet we currently lack appreciation of the dynamics that underpinned these changes, and of their tangible effects on the working practices of those involved. In this article we examine the wholesale reform of biological science at the University of Manchester, England, that occurred in two successive steps in 1986 and 1993. We examine how reform was enabled by economic and political factors, as staff seized upon national pressures; in so doing, we emphasize how this reform was shaped by a generational view of the biological sciences as a one field, unified by molecular techniques. We assess how the success of these reforms was tied to new management policies that rewarded research activity in molecular fields, and refigured teaching as a punishment for research inactivity. We close by showing how our analysis fits amongst, and can contribute to, 'big picture' debates in the history and sociology of knowledge. © 2007 Elsevier Ltd. All rights reserved.",,Biological Sciences
Goksu K.,"Goksu, K. (56685437500)",56685437500,Principles of systematics and the rules of nomenclature in the biological sciences (Turkish),1974,Mikrobiyoloji Bulteni,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016343427&partnerID=40&md5=40722231d93dc7ce28f2d3dc8b6c6f1b,"The value of natural classification, the sciences based on taxonomy, definitions of homology and analogy, the basic characteristics of systematics, and the taxonomic group categories are reviewed. The importance of nomenclature in the biological sciences, of the rules of modern nomenclature, and of priority are summarized, and information about nosological nomenclature is briefly given.",classification; nomenclature; review; taxonomy,Biological Sciences
Gray R.J.,"Gray, Russell J. (57210530934)",57210530934,"Sorry, we’re open: Golden open-access and inequality in non-human biological sciences",2020,Scientometrics,18,10.1007/s11192-020-03540-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086150193&doi=10.1007%2fs11192-020-03540-3&partnerID=40&md5=b6080abe77d3097f2e56f48d5214b74a,"Golden Open-access (GOA) journals make research more accessible and therefore more citable; however, the publication fees associated with GOA journals can be costly and therefore not a viable option for many researchers seeking high-impact publication outlets. In this study, metadata was collected from 174 open-access, non-human biological science journals and analyzed to determine relationships between Article Processing Charges (APC), Impact Factor (IF), Eigen Factor (EF), citability, h-index, journal rank, and potential contributing factors to publishing preference, such as years of available open access, publication frequency, and average review process time. Further, the aforementioned bibliometrics were examined in relation to country of publisher, as well as their national income threshold. The results of this study provide evidence that bibliometric values such as IF, EF, citability, h-index, and journal rank all increase as APC increases, and each of these metrics are higher in publishers from high-income countries in comparison to upper-middle and lower-middle income countries. Implications of these trends are discussed in regards to non-human biological sciences, and potential consequences of inequality within the global scientific community overall. © 2020, Akadémiai Kiadó, Budapest, Hungary.",,Biological Sciences
Berger G.; Frangville P.; Meyer F.,"Berger, Gilles (36542028200); Frangville, Pierre (57216716191); Meyer, Franck (55350396800)",36542028200; 57216716191; 55350396800,Halogen bonding for molecular recognition: new developments in materials and biological sciences,2020,Chemical Communications,101,10.1039/d0cc00841a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084379841&doi=10.1039%2fd0cc00841a&partnerID=40&md5=2ee8f1d6308d30a68c98188f825d121b,"Two decades ago, halogen bonding attracted considerable attention as a new type of non-covalent interaction and has now emerged as an important supramolecular tool for crystal engineering, demonstrating its ability to self-assemble low affinity entities. Specific features of halogen bonds have been subsequently harnessed in biological and material sciences to give rise to elegant functional systems with a wide range of applications. In this highlight, we focused on new concepts in polymer science, electrochemistry, electronic and sensing materials. Recent findings on the use of halogenated compounds for transmembrane transport are also discussed, together with a short summary of the current understanding of the nature of the halogen bond, in the light of modern computational tools and energy decomposition. © The Royal Society of Chemistry 2020.",Biological Transport; Calcium Compounds; Calixarenes; Catalysis; Electrochemical Techniques; Ferrous Compounds; Halogenation; Halogens; Metallocenes; Oxides; Phenols; Polymers; Semiconductors; Solar Energy; Thyroid Hormones; Titanium; Volatile Organic Compounds; Halogenation; calixarene; carbon nanotube; ferrocene; graphene; halide; halogen; iodine; metal organic framework; monocarboxylate transporter 8; nanocomposite; perovskite; polymer; ruthenium complex; tetrathiafulvalene derivative; thyroid hormone; calcium derivative; calix(4)arene; ferrous ion; halogen; metallocene; oxide; phenol derivative; thyroid hormone; titanium; volatile organic compound; Biological science; Computational tools; Energy decomposition; Functional systems; Halogenated compounds; Material science; Non-covalent interaction; Transmembrane transport; adsorption; bilayer membrane; catalysis; chemical bond; degradation; density functional theory; electrochemistry; halogen bond; halogenation; hormone transport; lipophilicity; liquid crystal; membrane transport; molecular recognition; polymerization; Review; chemistry; electrochemical analysis; isolation and purification; metabolism; procedures; semiconductor; solar energy; transport at the cellular level; Halogen compounds,Biological Sciences
Brown-Borg H.; Anderson R.; McCarter R.; Morley J.; Musi N.; Olshansky S.J.; Shukitt-Hale B.; Jacques P.S.; Walston J.; Willcox B.,"Brown-Borg, Holly (7004544635); Anderson, Rozalyn (57201833448); McCarter, Roger (35396794400); Morley, John (7403144221); Musi, Nicolas (6602332199); Olshansky, S Jay (7005809773); Shukitt-Hale, Barbara (7003496560); Jacques, Peggy St. (55290315800); Walston, Jeremy (7003712269); Willcox, Bradley (6603702425)",7004544635; 57201833448; 35396794400; 7403144221; 6602332199; 7005809773; 7003496560; 55290315800; 7003712269; 6603702425,Nutrition in aging and disease: Update on biological sciences,2012,Aging Health,2,10.2217/ahe.11.88,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863406958&doi=10.2217%2fahe.11.88&partnerID=40&md5=e9d4834d08d43aa1a8b847478e775075,"The Annual meeting of the Gerontological Society of America brings together four unique sections of the Society to present their latest research findings. With over 4000 in attendance this year, the meeting served as a major opportunity for cross-fertilization and exchange of ideas both within and between sections. This year, the Biological Sciences Section focused their symposia on 'Nutrition in aging and disease'. This translational topic was of great interest and drew robust audiences from each of the societies' sections (the Health Sciences, Behavioral and Social Sciences, as well as the Social Research, Policy and Practice sections). A summary of each of the sessions is presented. © 2012 Future Medicine Ltd.",aging; amyotrophic lateral sclerosis; anorexia; biomedicine; caloric restriction; conference paper; degenerative disease; DNA methylation; energy metabolism; epidemic; food intake; gene expression; genetic variability; geriatric nutrition; human; inflammation; life expectancy; molecular pathology; neuroimaging; nonhuman; obesity; oxidative stress; population genetics,Biological Sciences
Karger B.L.,"Karger, Barry L. (35516143000)",35516143000,Opportunitlies for Analyticla Chemistry and Separation Science in the Biological Sciences,1991,Analytical Chemistry,0,10.1021/ac00007a001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022967491&doi=10.1021%2fac00007a001&partnerID=40&md5=504bbc6a0ef466b1c121afb8a1096cd0,"This REPORT discusses the past, present, and future of the relationship between analytical chemistry and the biological sciences. It is based on a portion of Barry Karger’s 1990 Fisher Award Address at the ACS national meeting in Boston. In addition to the overview of the role of analytical chemistry in the biological sciences, the opportunities and directions of separation science that will take us into the next century are considered. © 1991, American Chemical Society. All rights reserved.",,Biological Sciences
Roy S.B.,"Roy, Sanku Bilas (27268013400)",27268013400,Research output of biological science during 1901-1945: A scientometric analysis,2019,DESIDOC Journal of Library and Information Technology,13,10.14429/djlit.39.3.14065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073323689&doi=10.14429%2fdjlit.39.3.14065&partnerID=40&md5=fe583858aa3ecd4109b40af2d9b76d0f,"A scientometric evaluation of India’s scientific productions in the field of biological science during 1901-1947 has been performed. The growth rate, authorship pattern, collaboration trend, and prolific researchers (male and female) of biological science literature is investigated. From the result it is found that the mean relative growth rate and duplication time is 0.615 and 1.007 respectively for the period 1901-1945. The calculated results follow the spirit of the ‘Price Law’ i.e. the coefficient of determination of the exponential plot is greater than that of the linear plot. About 75 per cent papers are single-authored and the degree of collaboration is 0.249. The Collaborative author index (CAI) for single author shows decreasing trend while for two author and more than two author shows increasing trend. The data set derived from this study follows Lotka’s law of author productivity. The productivity of ten most productive researchers together contributed 15 per cent publication share. It is also found that the productivity of women researchers together contributed 0.62 per cent publication share in biological science research. © 2019, DESIDOC.",,Biological Sciences
Laake P.; Benestad H.B.; Olsen B.R.,"Laake, Petter (35482609600); Benestad, Haakon Breien (7004648987); Olsen, Bjorn Reino (35403161200)",35482609600; 7004648987; 35403161200,Research in Medical and Biological Sciences: From Planning and Preparation to Grant Application and Publication,2015,Research in Medical and Biological Sciences: From Planning and Preparation to Grant Application and Publication,8,10.1016/C2015-0-00919-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939791092&doi=10.1016%2fC2015-0-00919-4&partnerID=40&md5=4e526c57e560d734a17ba7866b81abc0,"Research in Medical and Biological Sciences covers the wide range of topics that a researcher must be familiar with in order to become a successful biomedical scientist. Perfect for aspiring as well as practicing professionals in the medical and biological sciences, this publication discusses a broad range of topics that are common yet not traditionally considered part of formal curricula, including philosophy of science, ethics, statistics, and grant applications. The information presented in this book also facilitates communication across conventional disciplinary boundaries, in line with the increasingly multidisciplinary nature of modern research projects. © 2015 Elsevier Ltd. All rights reserved.",,Biological Sciences
Conte C.A.,"Conte, Christopher A. (7005322757)",7005322757,Forest history in East Africa's eastern arc mountains: Biological science and the uses of history,2010,BioScience,5,10.1525/bio.2010.60.4.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950956898&doi=10.1525%2fbio.2010.60.4.9&partnerID=40&md5=75e4241141a7db20a0e2a527fc650db1,"In this article, I argue that conservation science in its role of advocate for the natural world could profitably draw from site-specific histories that integrate human and natural histories. Both fields analyze the dynamic interaction of structure and process. In East Africa's Eastern Arc Mountains, where forests contain high levels of species endemism and biological diversity, the prevailing historical paradigm from conservation science represents today's forests as surviving fragments of much larger forests. This view builds upon a century-long tradition of scientific scholarship that has developed theories for the evolution of Eastern Arc forests that encompass geological time scales. However, the relatively brief, millennialscale land-use history of the mountains, insofar as it is currently understood, suggests that human manipulation of forest biota involved periods of deforestation and regeneration, as well as the introduction of exotic plants. © 2010 by American Institute of Biological Sciences. AU rights reserved. Request permission to photocopy or reproduce article content at the University of California Press's Rights and Permissions Web site at. © 2010 by American Institute of Biological Sciences. All rights reserved.",,Biological Sciences
Tawade P.V.; Wasewar K.L.,"Tawade, Pratik V. (57864608600); Wasewar, Kailas L. (6506156879)",57864608600; 6506156879,Nanotechnology in biological science and engineering,2022,Environmental Applications of Microbial Nanotechnology: Emerging Trends in Environmental Remediation,1,10.1016/B978-0-323-91744-5.00015-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150541683&doi=10.1016%2fB978-0-323-91744-5.00015-1&partnerID=40&md5=118139b4adfbe4bbe0835a8565cac011,"Nanotechnology, a golden age in this century, has emerged as a potential interdisciplinary research field. Physical, electrical, chemical, magnetic, and optical properties are among the attributes of nanometer-sized particles ranging in size from 1 to 100nm. Sensors, molecular motors, and other nanobiomaterials are all part of nanotechnology, a multidisciplinary area that combines nanotechnology, biotechnology, material science, and system engineering. The convergence of nanotechnology and biology is referred to as nanobiotechnology, bionanotechnology, and nanobiology. This field aids in identifying the intersection of biological study and other fields of nanotechnology. Nanodevices, nanoparticles, and nanoscale processes under the subject of nanotechnology are all concepts that are strengthened by nanobiology. Researchers can imagine and build systems for biological research using this scientific approach to biology. Nanobiotechnology is miniaturized biotechnology, whereas bionanotechnology is a subset of nanotechnology. Nanobiotechnology is a term that is frequently used to define the interlocking interdisciplinary activities involved, especially where chemistry, biology, biophysics, nanomedicine, and engineering collide. Nanotechnology is used in various applications in biological sciences, including health, plant science, agriculture, food packaging, biosensing, and biomolecular engineering. Various elements of nanotechnology in relation to biological science applications are discussed in this chapter. © 2023 Elsevier Inc. All rights reserved.",,Biological Sciences
Feldon D.F.; Peugh J.; Maher M.A.; Roksa J.; Tofel-Grehl C.,"Feldon, David F. (16066798400); Peugh, James (6603659862); Maher, Michelle A. (8837281000); Roksa, Josipa (8654644900); Tofel-Grehl, Colby (55843509900)",16066798400; 6603659862; 8837281000; 8654644900; 55843509900,Time-to-credit gender inequities of first-year PhD students in the biological sciences,2017,CBE Life Sciences Education,57,10.1187/cbe.16-08-0237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011088716&doi=10.1187%2fcbe.16-08-0237&partnerID=40&md5=710dd1d53792aa02eca9f54890238bce,"Equitable gender representation is an important aspect of scientific workforce development to secure a sufficient number of individuals and a diversity of perspectives. Biology is the most gender equitable of all scientific fields by the marker of degree attainment, with 52.5% of PhDs awarded to women. However, equitable rates of degree completion do not translate into equitable attainment of faculty or postdoctoral positions, suggesting continued existence of gender inequalities. In a national cohort of 336 first-year PhD students in the biological sciences (i.e., microbiology, cellular biology, molecular biology, developmental biology, and genetics) from 53 research institutions, female participants logged significantly more research hours than males and were significantly more likely than males to attribute their work hours to the demands of their assigned projects over the course of the academic year. Despite this, males were 15% more likely to be listed as authors on published journal articles, indicating inequality in the ratio of time to credit. Given the cumulative advantage that accrues for students who publish early in their graduate careers and the central role that scholarly productivity plays in academic hiring decisions, these findings collectively point to a major potential source of persisting underrepresentation of women on university faculties in these fields. © 2017 D. F. Feldon et al.","Achievement; Biological Science Disciplines; Education, Graduate; Faculty; Female; Gender Identity; Humans; Male; Publishing; Research; Students; academic achievement; achievement; biomedicine; education; female; gender identity; human; male; psychology; publishing; research; student; university",Biological Sciences
Springer Gordon K.,"Springer, Gordon K. (7102937528)",7102937528,National scientific computing environment for the biological sciences,1995,Proceedings of the Hawaii International Conference on System Sciences,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028927367&partnerID=40&md5=f4fff8ff3f5e78204272e681ecf945f4,"A framework for developing a computing environment for researchers in the biological sciences which utilizes HPCC resources is described. This framework addresses the need to provide an organized network resource discovery and access capability for the genome researcher on a national scale. In particular, this framework addresses the issues of integrating autonomous computing tools, authenticating both users and the tools being accessed, dynamic and transparent tool location determination, application and network fault tolerance, and scalability. This framework is based, in part, on open-systems concepts and a distributed computing paradigm.",Biology; Computational methods; Computer networks; Data reduction; Data structures; Distributed computer systems; Fault tolerant computer systems; Information retrieval; Large scale systems; Natural sciences computing; National scientific computing environment; Open systems concept; Scalability; Database systems,Biological Sciences
Anderson K.J.,"Anderson, Kathleen J. (57016928700)",57016928700,A transport for a biological sciences department,1980,Journal of Biological Education,0,10.1080/00219266.1980.9654282,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951388313&doi=10.1080%2f00219266.1980.9654282&partnerID=40&md5=a93cda7d6c961db1db160c50c575b740,"The article describes a Bedford high top van converted to a multipurpose laboratory and transport for a college biological sciences department. © 1980, Taylor & Francis Group, LLC. All rights reserved.",,Biological Sciences
Fostier M.; Grady R.,"Fostier, Maggy (6506478930); Grady, Ruth (15062557400)",6506478930; 15062557400,University of Manchester school of biological sciences launches a blueprint for drastic laboratory plastic reduction,2020,Biochemist,2,10.1042/BIO04201043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080866708&doi=10.1042%2fBIO04201043&partnerID=40&md5=f2ea703e4eb8ebae8ae052d77cbd987a,"The University of Manchester has pledged to eliminate 'avoidable' single-use plastic by 2022. To contribute, Dr Maggy Fostier and Dr Ruth Grady from the School of Biological Sciences (SBS) have launched a project to reduce the amount of plastic in their undergraduate laboratory classes. These classes involve thousands of students per year who require pipettes, weighing boats, stirrers, gloves and other plastic implements - which sometimes can have usage lifespans that are less than a minute. © 2020 The Authors.",,Biological Sciences
Green B.; Jenkins D.; Potter N.; Davies S.,"Green, B. (7401825056); Jenkins, D. (7401558095); Potter, N. (57191449209); Davies, S. (7403126127)",7401825056; 7401558095; 57191449209; 7403126127,Information technology in nurse education: A multimedia approach to teaching biological sciences,2000,Health Informatics Journal,7,10.1177/146045820000600206,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003374066&doi=10.1177%2f146045820000600206&partnerID=40&md5=34eb62a4c459b7a71ccb1f85f52143b5,"The School of Health Science at the University of Wales Swansea offers programmes for nurses and other healthcare professionals ranging from pre-registration nursing to post-doctoral studies. Biological science is an important component of the pre-registration programme, the delivery of which has proved to be problematic. Research conducted by the school has identified that a more innovative approach to teaching and learning this subject is required. There is a growing body of evidence that Multimedia Learning (MML) can enhance the quality of education, supporting or replacing the traditional didactic lecture and providing the student with information and standards of presentation that have never before been available. With this in mind, and responding to the research findings, the school has made a substantial investment in multimedia technology. We have now embarked on a programme to produce and deliver a biological science module for nursing students. If the evaluation of the programme demonstrates sustainable improvements in learning and offers enhanced quality in the delivery of programmes, it is the intention to extrapolate the biological science project to other curriculum subjects. © 2000, Sage Publications. All rights reserved.",,Biological Sciences
Macnab W.; Hansell M.H.; Johnstone A.H.,"Macnab, W. (57041999600); Hansell, M.H. (7004240735); Johnstone, A.H. (15222072200)",57041999600; 7004240735; 15222072200,Cognitive style and analytical ability and their relationship to competence in the biological sciences,1991,Journal of Biological Education,4,10.1080/00219266.1991.9655192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009710439&doi=10.1080%2f00219266.1991.9655192&partnerID=40&md5=90d290c01ec1c443be12dbafedb40831,"An investigation was carried out to examine cognitive factors which contribute to competence in the biological sciences. In a previous paper we discussed the various forms of spatial ability (Macnab and Johnstone, 1990). This paper is concerned with the role played by cognitive style and analytical ability. © 1991, Taylor & Francis Group, LLC. All rights reserved.",,Biological Sciences
Natarajan B.; Paulsen B.S.,"Natarajan, Bhanumathi (8782407000); Paulsen, Berit Smestad (7005029730)",8782407000; 7005029730,"An ethnopharmacological study from Thane district, Maharashtra, India: Traditional knowledge compared with modern biological science",2000,Pharmaceutical Biology,31,10.1076/1388-0209(200004)38:2;1-1;FT139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033858953&doi=10.1076%2f1388-0209%28200004%2938%3a2%3b1-1%3bFT139&partnerID=40&md5=60f97de76eb9bdef380384328733c323,"This paper is a synthesis of local traditional knowledge of plants used as medicine and western biological science. In many areas women are responsible for curing their family members and others for various illness. Ethnomedical uses of 51 plants by women in hamlets/villages of Jawhar and Mokhada talukas in Thane district, Maharashtra, have been recorded. Information from scientific literature for each plant collected has been incorporated with traditional knowledge to explain or substantiate traditional medicinal uses.",plant extract; antibacterial activity; antiinflammatory activity; article; ethnopharmacology; human; India; wound healing,Biological Sciences
Mcintyre L.,"Mcintyre, Lee (7101992462)",7101992462,Gould on Laws in Biological Science,1997,Biology and Philosophy,9,10.1023/A:1006596323198,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031461133&doi=10.1023%2fA%3a1006596323198&partnerID=40&md5=5fbc18183eb2bcf2b037415ed9dc645d,"Are there laws in evolutionary biology? Stephen J. Gould has argued that there are factors unique to biological theorizing which prevent the formulation of laws in biology, in contradistinction to the case in physics and chemistry. Gould offers the problem of ""complexity"" as just such a fundamental barrier to biological laws in general, and to Dollo's Law in particular. But I argue that Gould fails to demonstrate: (1) that Dollo's Law is not law-like, (2) that the alleged failure of Dollo's Law demonstrates why there cannot be laws in biological science, and (3) that ""complexity"" is a fundamental barrier to nomologicality.",biological law,Biological Sciences
Feng T.; Zhuang H.; Ran Y.,"Feng, Tao (57207910300); Zhuang, Haining (23494486600); Ran, Ye (54399138100)",57207910300; 23494486600; 54399138100,The application of cyclodextrin glycosyltransferase in Biological Science,2011,Journal of Bioequivalence and Bioavailability,8,10.4172/jbb.1000086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930484085&doi=10.4172%2fjbb.1000086&partnerID=40&md5=31365ede7d19231f2968e32ac081ec5c,"Cyclodextrin glycosyltransferase is an important enzyme of cyclodextrin synthesis. This article mainly discusses the recent progress of the application of cyclodextrin glycosyltransferase in biological science. These applications included that synthesis of large-ring CD and enzyme engineering to produce a specific type of CD. Through these applications, the cyclodextrin glycosyltransferase will develop a great contribution to the new type of CD synthesis research area. © 2011 Feng T. et al.",arginine; cyclomaltodextrin glucanotransferase; glutamine; leucine; tryptophan; tyrosine; article; binding affinity; biomedicine; cyclization; enantioselectivity; enzyme activity; enzyme engineering; enzyme mechanism; enzyme specificity; enzyme synthesis; hydrolysis; mutational analysis; protein cross linking; protein engineering; reaction time; site directed mutagenesis; structure analysis,Biological Sciences
Bauer-Dantoin A.,"Bauer-Dantoin, Angela (6701565188)",6701565188,THE EVOLUTION OF SCIENTIFIC TEACHING WITHIN THE BIOLOGICAL SCIENCES,2023,Exploring Signature Pedagogies: Approaches to Teaching Disciplinary Habits of Mind,6,10.4324/9781003444732-16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166112548&doi=10.4324%2f9781003444732-16&partnerID=40&md5=a530407fcbd625ff6bdf8258db3a5065,"Proponents of constructivist teaching within the biological sciences argue that its investigative nature fosters scientific thinking, because it encourages students to engage in a form of inquiry that more closely mimics the scientific method. Investigations into active learning strategies provide convincing evidence of their benefits for the development of higher order thinking skills in undergraduate biology students, which is paramount for developing the mindset of a researcher in the biological sciences. Given the values and practices (experimental, rigorous, evidence-driven inquiry) that biologists and other scientists hold nearest to their heart as they approach their work in the laboratory, it is not surprising that these same values and practices have emerged as the key characteristics of their signature pedagogy, scientific teaching. SoTL evidence overwhelmingly demonstrates that scientific teaching fosters the skills and mindset that not only allow students to succeed in their coursework, but to enjoy it as well. © 2009 by Taylor & Francis.",,Biological Sciences
Adamo S.A.,"Adamo, Shelley A. (7006369732)",7006369732,"Attrition of women in the biological sciences: Workload, motherhood, and other explanations revisited",2013,BioScience,65,10.1525/bio.2013.63.1.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872859170&doi=10.1525%2fbio.2013.63.1.9&partnerID=40&md5=da856094c8926449c0ee1137241d24ca,"Women and men enter graduate programs in biology in about equal numbers, but women are less likely to become academic scientists. Various hypotheses have been suggested to explain this higher rate of attrition, most of which cite family issues as the reason. However, medicine successfully recruits and retains women physicians, despite being less family friendly than biology in terms of workload, stress, and inflexible work hours. Both professions are competitive but at different times in a person's career. Competition for entry into medical school is intense, but this period of competition occurs prior to family formation for most women. For women biologists, the most intense period of competition occurs during the search for faculty positions. Many women have partners or children at this time. The increasing competition for academic positions threatens to reverse the gains that women have made into the professoriate in biology, as well as in other sciences. © 2013 by American Institute of Biological Sciences. All rights reserved.",,Biological Sciences
,,,The U.S. Geological Survey Southwest Biological Science Center Sound Science to Serve the American Southwest,2019,U.S. Geological Survey Fact Sheet,0,10.3133/fs20193041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203552714&doi=10.3133%2ffs20193041&partnerID=40&md5=0a61eb09f2f4e14fd3a445d9072b25f0,"Home to Arches, Grand Canyon, and Saguaro National Parks, among others, the American Southwest’s landscapes are as fragile as they are iconic. Energy development, water security, and grassland restoration are important to the region as it experiences population growth and increased demand for resources. The U.S. Geological Survey’s Southwest Biological Science Center provides sound scientific information to help identify effective management strategies for the Southwest’s abundant natural resources and vast public lands. Research is focused on two key areas—dryland ecology and river science. © 2019, US Geological Survey. All rights reserved.",,Biological Sciences
